_u1.systype,_u1.region,_u1.team,_u1.hdvoice_valid_user_cnt,_u1.lte_valid_user_cnt,_u1.new_hdv_cfi_value,_u1.new_hdv_cfi_qoe1_value,_u1.new_hdv_cfi_qoe2_value,_u1.new_hdv_cfi_qoe3_value,_u1.new_hdv_cfi_qoe4_value,_u1.new_hdv_cfi_qoe1_qos1_value,_u1.new_hdv_cfi_qoe1_qos2_value,_u1.new_hdv_cfi_qoe2_qos1_value,_u1.new_hdv_cfi_qoe3_qos1_value,_u1.new_hdv_cfi_qoe4_qos1_value,_u1.new_hdv_cfi_qoe4_qos2_value,_u1.new_hdv_cfi_qoe4_qos3_value,_u1.new_hdv_cfi_qoe1_qos3_value,_u1.new_hdv_cfi_qoe1_qos4_value,_u1.new_data_cfi_value,_u1.new_data_nei_qoe1_value,_u1.new_data_nei_qoe2_value,_u1.new_data_cfi_qoe3_value,_u1.new_data_cfi_qoe4_value,_u1.new_data_cfi_qoe5_value,_u1.new_data_cfi_qoe1_qos1_value,_u1.new_data_cfi_qoe1_qos2_value,_u1.new_data_cfi_qoe1_qos3_value,_u1.new_data_cfi_qoe1_qos4_value,_u1.new_data_cfi_qoe1_qos5_value,_u1.new_data_cfi_qoe2_qos1_value,_u1.new_data_cfi_qoe2_qos2_value,_u1.new_data_cfi_qoe2_qos3_value,_u1.new_data_cfi_qoe3_qos1_value,_u1.new_data_cfi_qoe3_qos2_value,_u1.new_data_cfi_qoe4_qos1_value,_u1.new_data_cfi_qoe5_qos1_value,_u1.new_data_cfi_qoe5_qos2_value,_u1.new_data_cfi_qoe5_qos3_value,_u1.new_data_sei_qoe1_value,_u1.new_data_sei_qoe2_value,_u1.new_data_cei_qoe1_qos8_value,_u1.new_data_cei_qoe2_qos1_value,_u1.new_data_cei_qoe2_qos2_value,_u1.new_data_cei_qoe2_qos3_value,_u1.new_data_cfi_qoe1_qos6_value,_u1.new_data_cfi_qoe2_qos6_value,_u1.hdv_bad_user_cnt,_u1.lte_bad_user_cnt,_u1.hdv_bad_valid_user_cnt,_u1.lte_bad_valid_user_cnt,_u1.new_data_nei_value,_u1.new_data_sei_value,_u1.wcdr_cei_value,_u1.dt
4G,전사,ALL,8481848.0,1.2243337E7,83.880723694446,85.96765588580057,85.63106214414955,79.78122540753371,84.14295134030016,98.77003293381951,88.54804772244718,99.58463475471065,79.78122540753371,84.45411614345409,99.63155756360602,99.60011808076118,99.1788113121303,99.52719436042682,84.39222208272173,90.03712471506311,85.11861102387529,84.2214091102403,81.2778236927314,86.4301095805936,90.72873749123703,89.12165825694734,97.01011431879155,99.74259460108581,94.98904732946274,99.35765051850439,88.75204481197412,98.97843343019116,84.2214091102403,86.1652,81.2778236927314,89.21724092540553,97.26496210342633,99.60011808076118,81.91330866014815,83.80675932112165,99.9105946407185,99.97993040042611,99.9729942151798,99.37769165860593,99.23771365578551,96.5261194500795,30513.0,16859.0,30513.0,16859.0,86.45181360744307,82.33263055800039,92.55588629085622,2.0220913E7
4G,전사,ALL,6380221.0,1.1664215E7,84.24374000526976,86.43006077460029,85.66534963548818,80.11122571835523,84.7683238926353,98.80734357672674,88.89731237611585,99.61105907043341,80.11122571835523,85.12006840085996,99.58676665229146,99.58601657473135,99.28333884141216,99.49026884968633,84.78689445766423,89.75735064194669,85.1320898257214,84.28938041203533,82.87235860111142,86.73646115530003,90.39285095502686,90.5053124099405,96.84775667995986,99.7509257613811,94.77764748042775,99.34413177989686,88.80210733064068,98.92083123354081,84.28938041203533,86.1652,82.87235860111142,89.80753656243688,96.98187006420653,99.58601657473135,82.86793121818592,83.54461540043545,99.91349860688857,99.97918088668787,99.97984475526285,99.33582722862936,99.29695732973799,96.50010902826583,19919.0,14435.0,19919.0,14435.0,86.47882050875086,83.09496840657759,91.90999595543482,2.0220911E7
4G,전사,ALL,8460246.0,1.2253637E7,83.89137269513499,86.53114784141847,85.61720358442102,79.38750687319471,84.02963248150577,98.76562349406856,89.1029850186663,99.5778888907186,79.38750687319471,84.34016229503577,99.63181264408324,99.59913363485559,99.20036124855814,99.52810635138042,84.17899283272641,90.07396475601269,85.10668132376433,84.19090675165735,80.81938176970212,86.3318544966337,90.75062208479594,88.45182652309376,97.11921545264704,99.7241814313422,94.76099387952873,99.35406665789863,88.74540458771327,98.95129703247822,84.19090675165735,86.1652,80.81938176970212,89.11519780081964,97.2665997339731,99.59913363485559,81.17869363267302,83.79832609793225,99.90417397402362,99.98187999909655,99.97263268208934,99.37752045009903,99.2543772006863,96.52329395916881,30692.0,17264.0,30692.0,17264.0,86.42585183201702,81.9321338334358,92.58155646695664,2.0220914E7
4G,전사,ALL,7208215.0,1.1931119E7,84.49297551379587,86.98044703322006,85.60476505350042,80.52863429304554,84.85805567541746,98.80987184853932,89.46387795947594,99.57468549120547,80.52863429304554,85.17525998665158,99.6275863304863,99.58798482386088,99.29408964256899,99.49912029588677,84.86237208119033,89.8877863265929,85.15611170254043,84.35149048665545,82.62420274812533,87.01551858925089,90.5578023961496,91.25356631353452,96.97009740709315,99.6492570275598,94.64714790884375,99.34693051690853,88.79025913285459,98.93649650670847,84.35149048665545,86.1652,82.62420274812533,89.85598960574164,97.2395044237846,99.58798482386088,83.45825013478178,83.28359927545519,99.87801308030163,99.97963728174862,99.97943053980534,99.36700186193774,99.2601233114893,96.53749960750139,22281.0,16461.0,22281.0,16461.0,86.60272677625991,83.12201738612076,91.92007530482765,2.0220909E7
4G,전사,ALL,6368752.0,1.1807779E7,84.3252815569978,86.73088437474605,85.5845867807968,80.42407990808633,84.561575164362,98.81152577157373,89.2195359949135,99.57319455532749,80.42407990808633,84.88215219807529,99.62232692572967,99.58885635042058,99.28797658704441,99.47976866270183,84.68660595039572,89.74843031414015,85.06482576819238,84.27360195184394,82.69022628938896,86.73630519804396,90.40259673353408,91.13888758381452,96.88318547008251,99.67983485328861,94.48521490141988,99.32398030954407,88.7342427352816,98.88550739644461,84.27360195184394,86.1652,82.69022628938896,89.59784345787138,97.20589791360612,99.58885635042058,83.16168841203016,82.9003485767898,99.88869649945576,99.97997420374907,99.98038222473755,99.37322282333474,99.27638536609504,96.51718665071388,19522.0,16880.0,19522.0,16880.0,86.45579080805511,82.9174210927363,91.5278415172752,2.022091E7
4G,전사,ALL,6783592.0,1.1653585E7,84.0384840754646,86.29028786636381,85.69403210521219,79.23057663546258,84.93903969481983,98.79825031658198,88.80509198774006,99.62194180236072,79.23057663546258,85.28659563364891,99.59248468502362,99.58778790458067,99.27386071600296,99.49142105902186,84.65823096633014,89.83277329195715,85.16523995680957,84.37232630072302,82.59873963178893,86.9109290241978,90.52818104296196,89.35743885162842,96.75493050115985,99.77044645412808,95.02602622631042,99.35998240191984,88.85888248243265,98.87545882616118,84.37232630072302,86.1652,82.59873963178893,89.95351149506219,97.01752363887276,99.58778790458067,81.96874805510546,83.67094668082076,99.9203001732551,99.97835883728077,99.97839134894669,99.32132158006765,99.23183284697303,96.46061385952568,23150.0,13508.0,23150.0,13508.0,86.57031714342187,82.74614478923839,92.3474254431477,2.0220912E7
4G,전사,ALL,8884046.0,1.2372466E7,84.21073772597734,86.81637099725948,85.58993963013025,80.03573370473238,84.40090657178722,98.78811779729587,89.32082582488323,99.55692373179399,80.03573370473238,84.70605122930498,99.63976049752135,99.59383529400894,99.2495310514916,99.52909369866813,84.87825342272532,89.93706265598935,85.19152240454996,84.12520534686932,82.02573786519429,86.68920690389788,90.59569191233062,91.77209437378481,97.43088218021722,99.69155997567394,94.60472031835909,99.33801759103298,88.74965249133254,98.99015357883306,84.12520534686932,86.1652,82.02573786519429,89.4417750319949,97.31777324101293,99.59383529400894,84.32929623154716,83.45723845613057,99.89279060682684,99.98237278131448,99.97437849618561,99.3767261483845,99.27300157166566,96.63050055592015,29882.0,18273.0,29882.0,18273.0,86.48574932782662,83.270757517624,92.37971165966493,2.0220908E7
4G,강남,ALL,598589.0,1672962.0,83.36172821702999,84.79090510483418,85.79306985078368,78.14326588062355,84.71967203187853,98.5018866724668,87.88904656494307,99.6351366359348,78.14326588062355,85.14887842063932,99.4959341840764,99.56997718427992,98.89826303911839,99.41580779854739,85.24536968650443,90.03281196814292,85.39297041634426,84.46263149783579,83.53740693457055,86.25641583284437,90.67167012996576,90.25156846325439,97.18728129768998,99.72690006229826,96.0494209100625,99.2817510783445,88.98093875780363,99.30881388401757,84.46263149783579,86.0162,83.53740693457055,89.83283808142565,96.43348901156989,99.56997718427992,84.01779158743584,84.30839731064474,99.90512217182957,99.9746813271677,99.96118797370178,99.7643201921029,99.29541591005534,96.66198496151878,1888.0,1624.0,1888.0,1624.0,86.53620742879184,83.95453194421704,92.17089741317399,2.0220911E7
4G,경남,ALL,1029919.0,1891480.0,84.89294122423084,87.65614020159019,85.39003683783531,80.32362613773098,86.20196171976687,98.93113228990835,89.75537628701372,99.52757160809425,80.32362613773098,86.46322474166143,99.69783335900878,99.57630508257199,99.53730756718797,99.57001339434737,84.87640826544524,89.81537937872228,85.38652595831806,83.70254345220953,81.9709280043998,88.49768662089814,90.4701507675034,91.35713559907252,96.63583491477229,99.90634667597676,94.75646007068312,99.43100364673704,89.54626365593595,98.5681420746213,83.70254345220953,86.0879,81.9709280043998,90.96586557797258,97.70065035231467,99.57630508257199,83.57619281232483,83.15972721833573,99.96754697921007,99.9799961178796,99.99694789974511,98.9711759563078,99.27625699390754,95.90031893909325,3067.0,2485.0,3067.0,2485.0,86.850533852537,82.90228267835346,92.29919923427741,2.0220911E7
4G,경북,ALL,775357.0,1481846.0,84.55354430768867,86.82615423219933,85.51489855525111,81.87670758620634,83.99641685709784,98.93404541220328,88.95230405163144,99.58614881834181,81.87670758620634,84.36638931427514,99.56146937164858,99.49585083288937,99.53769874689675,99.55990263129078,84.41061125265666,89.47202393953805,85.4747897588166,84.74893111225005,81.89184034741503,85.87413200408236,90.19085042561018,90.70253488240076,96.56707098036426,99.61921972800982,94.16192451600104,99.40420964868015,89.48123710574714,98.58626295802192,84.74893111225005,85.8531,81.89184034741503,89.13871005473256,96.82578911403937,99.49585083288937,82.16123247310479,83.23318708440485,99.86750944315486,99.98113295561207,99.99642143166724,99.15143558723608,99.20299400362676,96.09510925519473,2491.0,1859.0,2491.0,1859.0,86.39246920367177,82.42875330164156,91.7827918376074,2.0220911E7
